HANDLE,CPF_CNPJ,PRESTADOR,UF,MUNICIPIO,TIPO_PRESTADOR,CATEGORIA
1025,45.573.355/0001-19,HOSPITAL ELITE LTDA,SP,SÃO PAULO,PF,AMBULATORIAL
1026,31.516.597/0001-71,INSTITUTO INTEGRADA LTDA,SP,SÃO PAULO,PJ,AMBULATORIAL
1027,43.902.903/0001-68,CENTRO MÉDICO INTEGRADA,MG,UBERLÂNDIA,PF,AMBULATORIAL
1028,37.159.693/0001-79,CLÍNICA NOVA ESPERANÇA LTDA,RJ,RIO DE JANEIRO,PJ,CLÍNICA PJ
1029,30.158.620/0001-20,INSTITUTO BEM ESTAR EPP,BA,SALVADOR,PF,MÉDICO PF
1030,82.352.692/0001-86,CLÍNICA CENTRAL LTDA,CE,CAUCAIA,PJ,MÉDICO PF
1031,95.833.421/0001-40,CENTRO MÉDICO INTEGRADA S/S,SP,CAMPINAS,PJ,MÉDICO PF
1032,11.569.736/0001-82,CLÍNICA BEM ESTAR EPP,CE,FORTALEZA,PJ,AMBULATORIAL
1033,18.350.478/0001-46,INSTITUTO PREMIER EPP,RJ,NITERÓI,PF,CLÍNICA PJ
1034,48.779.206/0001-27,CENTRO MÉDICO BEM ESTAR LTDA,BA,SALVADOR,PJ,MÉDICO PF
1035,36.834.451/0001-36,CENTRO MÉDICO ELITE ME,BA,FEIRA DE SANTANA,PF,AMBULATORIAL
1036,64.949.383/0001-15,CLÍNICA NOVA ESPERANÇA S/S,PE,CARUARU,PF,CLÍNICA PJ
1037,80.822.537/0001-81,CLÍNICA BEM ESTAR LTDA,MG,BELO HORIZONTE,PF,MÉDICO PF
1038,80.251.540/0001-26,CLÍNICA SANTA CRUZ S.A.,BA,SALVADOR,PJ,AMBULATORIAL
1039,41.782.205/0001-55,POLICLÍNICA INTEGRADA EPP,PE,RECIFE,PF,AMBULATORIAL
1040,62.125.283/0001-52,HOSPITAL SÃO LUCAS S.A.,SP,SÃO PAULO,PF,MÉDICO PF
1041,70.327.304/0001-68,CENTRO MÉDICO SANTA CRUZ S/S,CE,FORTALEZA,PF,CLÍNICA PJ
1042,61.436.385/0001-18,CENTRO MÉDICO NOVA ESPERANÇA,SP,CAMPINAS,PJ,AMBULATORIAL
1043,43.282.694/0001-43,CLÍNICA BEM ESTAR EPP,CE,CAUCAIA,PJ,CLÍNICA PJ
1044,65.720.623/0001-24,HOSPITAL CENTRAL S/S,RJ,NITERÓI,PF,CLÍNICA PJ
1045,10.632.925/0001-78,INSTITUTO NOVA ESPERANÇA ME,MG,BELO HORIZONTE,PJ,CLÍNICA PJ
1046,94.968.227/0001-48,POLICLÍNICA SANTA CRUZ,RJ,NITERÓI,PJ,MÉDICO PF
1047,47.667.230/0001-34,HOSPITAL INTEGRADA,PE,RECIFE,PJ,MÉDICO PF
1048,10.411.393/0001-36,HOSPITAL CENTRAL EPP,BA,FEIRA DE SANTANA,PJ,MÉDICO PF
1049,96.318.623/0001-70,INSTITUTO BEM ESTAR S.A.,MG,UBERLÂNDIA,PF,AMBULATORIAL
1050,49.330.925/0001-35,INSTITUTO SAÚDE PLENA LTDA,PE,RECIFE,PJ,CLÍNICA PJ
1051,68.524.744/0001-83,INSTITUTO INTEGRADA ME,CE,CAUCAIA,PF,AMBULATORIAL
1052,98.105.868/0001-23,HOSPITAL SÃO LUCAS S/S,PE,CARUARU,PF,CLÍNICA PJ
1053,25.567.236/0001-69,POLICLÍNICA ELITE EPP,SP,CAMPINAS,PJ,CLÍNICA PJ
1054,74.536.950/0001-80,HOSPITAL MÉDICA NORTE,PE,CARUARU,PJ,MÉDICO PF
1055,91.383.884/0001-76,HOSPITAL SÃO LUCAS S.A.,SP,CAMPINAS,PF,CLÍNICA PJ
1056,40.378.443/0001-50,POLICLÍNICA BEM ESTAR S/S,RJ,RIO DE JANEIRO,PF,MÉDICO PF
1057,29.823.319/0001-18,HOSPITAL INTEGRADA S.A.,PE,CARUARU,PJ,AMBULATORIAL
1058,63.498.888/0001-84,CLÍNICA CENTRAL ME,SP,CAMPINAS,PF,MÉDICO PF
1059,59.973.955/0001-63,POLICLÍNICA ELITE EPP,RJ,RIO DE JANEIRO,PJ,AMBULATORIAL
1060,65.597.129/0001-59,CENTRO MÉDICO INTEGRADA,RJ,RIO DE JANEIRO,PJ,AMBULATORIAL
1061,78.127.503/0001-85,POLICLÍNICA SAÚDE PLENA LTDA,BA,FEIRA DE SANTANA,PF,MÉDICO PF
1062,16.366.488/0001-51,INSTITUTO PREMIER S.A.,SP,CAMPINAS,PJ,MÉDICO PF
1063,42.954.183/0001-70,CLÍNICA ELITE LTDA,MG,UBERLÂNDIA,PF,CLÍNICA PJ
1064,93.141.872/0001-13,INSTITUTO SÃO LUCAS LTDA,CE,FORTALEZA,PF,AMBULATORIAL
1065,95.217.677/0001-37,HOSPITAL SANTA CRUZ S.A.,MG,BELO HORIZONTE,PF,AMBULATORIAL
1066,23.692.126/0001-49,POLICLÍNICA INTEGRADA ME,RJ,RIO DE JANEIRO,PF,CLÍNICA PJ
1067,90.348.204/0001-99,CENTRO MÉDICO CENTRAL LTDA,PE,RECIFE,PJ,CLÍNICA PJ
1068,94.479.170/0001-74,CENTRO MÉDICO SAÚDE PLENA ME,MG,UBERLÂNDIA,PF,MÉDICO PF
1069,91.948.570/0001-29,HOSPITAL MÉDICA NORTE,RJ,NITERÓI,PJ,MÉDICO PF
1070,85.374.430/0001-41,CLÍNICA SANTA CRUZ ME,MG,BELO HORIZONTE,PJ,CLÍNICA PJ
1071,95.488.444/0001-13,HOSPITAL NOVA ESPERANÇA S/S,BA,FEIRA DE SANTANA,PF,MÉDICO PF
1072,53.386.710/0001-99,CENTRO MÉDICO ELITE LTDA,RJ,RIO DE JANEIRO,PF,AMBULATORIAL
1073,62.600.668/0001-40,HOSPITAL PREMIER ME,PE,RECIFE,PF,MÉDICO PF
1074,61.808.349/0001-49,POLICLÍNICA NOVA ESPERANÇA ME,SP,CAMPINAS,PJ,CLÍNICA PJ
1075,52.460.819/0001-68,CENTRO MÉDICO SANTA CRUZ S.A.,BA,SALVADOR,PF,CLÍNICA PJ
1076,50.222.860/0001-78,INSTITUTO SÃO LUCAS S/S,SP,CAMPINAS,PJ,CLÍNICA PJ
1077,77.711.389/0001-22,INSTITUTO SANTA CRUZ S/S,BA,FEIRA DE SANTANA,PF,MÉDICO PF
1078,78.229.380/0001-15,CLÍNICA ELITE S.A.,CE,FORTALEZA,PJ,AMBULATORIAL
1079,83.391.580/0001-71,HOSPITAL NOVA ESPERANÇA S/S,CE,FORTALEZA,PJ,MÉDICO PF
1080,18.510.603/0001-19,POLICLÍNICA SAÚDE PLENA S/S,CE,FORTALEZA,PJ,AMBULATORIAL
1081,25.671.882/0001-63,POLICLÍNICA CENTRAL EPP,SP,SÃO PAULO,PJ,MÉDICO PF
1082,48.980.702/0001-64,CENTRO MÉDICO CENTRAL EPP,MG,BELO HORIZONTE,PF,AMBULATORIAL
1083,37.370.776/0001-20,INSTITUTO SÃO LUCAS S/S,PE,RECIFE,PF,AMBULATORIAL
1084,67.805.708/0001-70,CENTRO MÉDICO SAÚDE PLENA S/S,MG,UBERLÂNDIA,PJ,CLÍNICA PJ
1085,19.803.339/0001-43,POLICLÍNICA SÃO LUCAS ME,MG,BELO HORIZONTE,PF,CLÍNICA PJ
1086,44.946.245/0001-19,CLÍNICA MÉDICA NORTE S.A.,SP,CAMPINAS,PJ,AMBULATORIAL
1087,98.411.816/0001-61,CENTRO MÉDICO ELITE EPP,MG,UBERLÂNDIA,PJ,AMBULATORIAL
1088,15.542.852/0001-51,POLICLÍNICA SANTA CRUZ LTDA,BA,SALVADOR,PF,CLÍNICA PJ
1089,85.121.883/0001-96,CENTRO MÉDICO CENTRAL LTDA,BA,SALVADOR,PJ,CLÍNICA PJ
1090,66.384.285/0001-84,HOSPITAL PREMIER LTDA,PE,CARUARU,PJ,MÉDICO PF
1091,51.786.207/0001-30,CENTRO MÉDICO INTEGRADA,RJ,NITERÓI,PJ,CLÍNICA PJ
1092,80.137.565/0001-21,CENTRO MÉDICO SANTA CRUZ S.A.,MG,BELO HORIZONTE,PJ,CLÍNICA PJ
1093,94.990.655/0001-69,HOSPITAL SAÚDE PLENA S/S,CE,CAUCAIA,PJ,CLÍNICA PJ
1094,16.308.373/0001-80,INSTITUTO SANTA CRUZ ME,MG,UBERLÂNDIA,PF,AMBULATORIAL
1095,87.918.345/0001-30,CENTRO MÉDICO ELITE LTDA,PE,CARUARU,PF,AMBULATORIAL
1096,69.220.763/0001-29,HOSPITAL SANTA CRUZ EPP,CE,CAUCAIA,PJ,MÉDICO PF
1097,41.567.664/0001-28,HOSPITAL SÃO LUCAS EPP,MG,BELO HORIZONTE,PF,MÉDICO PF
1098,53.906.619/0001-44,CLÍNICA SANTA CRUZ,MG,UBERLÂNDIA,PJ,AMBULATORIAL
1099,78.595.453/0001-52,POLICLÍNICA ELITE ME,MG,UBERLÂNDIA,PJ,AMBULATORIAL
1100,40.685.492/0001-39,HOSPITAL SAÚDE PLENA S.A.,PE,CARUARU,PJ,MÉDICO PF
1101,93.255.607/0001-14,INSTITUTO ELITE EPP,PE,CARUARU,PF,MÉDICO PF
1102,77.567.115/0001-28,HOSPITAL MÉDICA NORTE LTDA,CE,CAUCAIA,PJ,MÉDICO PF
1103,98.507.765/0001-20,CENTRO MÉDICO ELITE ME,BA,FEIRA DE SANTANA,PJ,CLÍNICA PJ
1104,89.170.340/0001-90,CENTRO MÉDICO SÃO LUCAS,CE,FORTALEZA,PJ,AMBULATORIAL
1105,22.554.270/0001-98,CENTRO MÉDICO SAÚDE PLENA LTDA,PE,CARUARU,PF,MÉDICO PF
1106,57.541.249/0001-41,POLICLÍNICA INTEGRADA EPP,RJ,RIO DE JANEIRO,PF,AMBULATORIAL
1107,88.991.491/0001-89,INSTITUTO PREMIER EPP,CE,FORTALEZA,PF,MÉDICO PF
1108,42.570.361/0001-95,CLÍNICA PREMIER S.A.,PE,RECIFE,PF,MÉDICO PF
1109,85.406.754/0001-64,CENTRO MÉDICO PREMIER S.A.,RJ,RIO DE JANEIRO,PJ,MÉDICO PF
1110,40.490.685/0001-55,POLICLÍNICA SANTA CRUZ,CE,CAUCAIA,PF,CLÍNICA PJ
1111,45.108.679/0001-97,CLÍNICA CENTRAL,MG,UBERLÂNDIA,PJ,AMBULATORIAL
1112,55.324.751/0001-34,POLICLÍNICA SANTA CRUZ,BA,SALVADOR,PF,CLÍNICA PJ
1113,15.416.907/0001-66,CLÍNICA CENTRAL S.A.,PE,RECIFE,PF,MÉDICO PF
1114,63.279.305/0001-26,POLICLÍNICA NOVA ESPERANÇA EPP,RJ,NITERÓI,PF,MÉDICO PF
1115,47.864.991/0001-53,CLÍNICA PREMIER LTDA,MG,BELO HORIZONTE,PF,CLÍNICA PJ
1116,96.506.966/0001-81,CENTRO MÉDICO BEM ESTAR ME,PE,RECIFE,PJ,CLÍNICA PJ
1117,68.477.788/0001-96,CENTRO MÉDICO CENTRAL ME,CE,CAUCAIA,PF,CLÍNICA PJ
1118,70.125.734/0001-81,CENTRO MÉDICO CENTRAL S/S,SP,SÃO PAULO,PJ,CLÍNICA PJ
1119,93.518.219/0001-27,CLÍNICA SAÚDE PLENA S.A.,RJ,NITERÓI,PF,AMBULATORIAL
1120,78.238.497/0001-68,CENTRO MÉDICO ELITE ME,SP,SÃO PAULO,PJ,CLÍNICA PJ
1121,72.730.517/0001-45,CLÍNICA NOVA ESPERANÇA S/S,CE,CAUCAIA,PJ,AMBULATORIAL
1122,22.802.476/0001-79,CENTRO MÉDICO SAÚDE PLENA ME,RJ,NITERÓI,PF,AMBULATORIAL
1123,21.778.317/0001-92,POLICLÍNICA SAÚDE PLENA LTDA,MG,UBERLÂNDIA,PF,AMBULATORIAL
1124,36.170.949/0001-80,INSTITUTO CENTRAL S/S,BA,SALVADOR,PJ,AMBULATORIAL
1125,10.383.979/0001-28,INSTITUTO ELITE S.A.,BA,SALVADOR,PF,CLÍNICA PJ
1126,26.115.466/0001-40,POLICLÍNICA NOVA ESPERANÇA LTDA,CE,FORTALEZA,PJ,AMBULATORIAL
1127,63.638.216/0001-18,HOSPITAL PREMIER S.A.,SP,SÃO PAULO,PJ,CLÍNICA PJ
1128,88.144.844/0001-94,POLICLÍNICA SANTA CRUZ ME,SP,SÃO PAULO,PF,MÉDICO PF
1129,64.802.210/0001-72,HOSPITAL BEM ESTAR LTDA,MG,UBERLÂNDIA,PF,AMBULATORIAL
1130,45.739.748/0001-84,POLICLÍNICA NOVA ESPERANÇA ME,SP,CAMPINAS,PJ,CLÍNICA PJ
1131,65.201.912/0001-99,CLÍNICA ELITE,BA,SALVADOR,PJ,MÉDICO PF
1132,62.447.947/0001-68,HOSPITAL INTEGRADA,SP,SÃO PAULO,PJ,MÉDICO PF
1133,95.361.483/0001-29,HOSPITAL BEM ESTAR LTDA,RJ,RIO DE JANEIRO,PF,MÉDICO PF
1134,57.931.233/0001-81,CLÍNICA CENTRAL EPP,CE,CAUCAIA,PF,MÉDICO PF
1135,95.868.533/0001-16,CENTRO MÉDICO CENTRAL S.A.,RJ,NITERÓI,PF,CLÍNICA PJ
1136,37.258.772/0001-71,INSTITUTO BEM ESTAR S.A.,BA,FEIRA DE SANTANA,PF,MÉDICO PF
1137,38.926.539/0001-81,POLICLÍNICA CENTRAL,BA,SALVADOR,PJ,AMBULATORIAL
1138,44.819.880/0001-49,CENTRO MÉDICO NOVA ESPERANÇA LTDA,SP,SÃO PAULO,PF,CLÍNICA PJ
1139,61.171.245/0001-91,CLÍNICA BEM ESTAR,PE,RECIFE,PJ,MÉDICO PF
1140,53.261.478/0001-49,CENTRO MÉDICO CENTRAL EPP,MG,BELO HORIZONTE,PF,AMBULATORIAL
1141,89.150.790/0001-20,CENTRO MÉDICO PREMIER,SP,CAMPINAS,PJ,CLÍNICA PJ
1142,63.379.320/0001-75,CLÍNICA NOVA ESPERANÇA ME,MG,BELO HORIZONTE,PJ,CLÍNICA PJ
1143,85.598.639/0001-95,CENTRO MÉDICO SAÚDE PLENA S/S,PE,CARUARU,PF,AMBULATORIAL
1144,48.316.885/0001-27,CENTRO MÉDICO SANTA CRUZ S.A.,SP,SÃO PAULO,PF,MÉDICO PF
1145,65.279.232/0001-58,POLICLÍNICA SÃO LUCAS EPP,PE,CARUARU,PF,MÉDICO PF
1146,15.546.119/0001-68,CLÍNICA NOVA ESPERANÇA EPP,PE,CARUARU,PJ,CLÍNICA PJ
1147,63.396.217/0001-61,CLÍNICA NOVA ESPERANÇA S/S,PE,CARUARU,PJ,AMBULATORIAL
1148,23.349.546/0001-85,HOSPITAL ELITE LTDA,MG,UBERLÂNDIA,PJ,CLÍNICA PJ
1149,38.441.897/0001-31,CLÍNICA ELITE,RJ,RIO DE JANEIRO,PF,MÉDICO PF
1150,92.934.251/0001-40,CLÍNICA MÉDICA NORTE S.A.,RJ,RIO DE JANEIRO,PF,CLÍNICA PJ
1151,93.177.281/0001-90,HOSPITAL PREMIER EPP,SP,CAMPINAS,PJ,CLÍNICA PJ
1152,29.550.169/0001-70,HOSPITAL SANTA CRUZ S.A.,RJ,RIO DE JANEIRO,PJ,CLÍNICA PJ
1153,49.572.562/0001-14,CLÍNICA NOVA ESPERANÇA S.A.,CE,FORTALEZA,PF,CLÍNICA PJ
1154,74.493.573/0001-84,POLICLÍNICA SAÚDE PLENA ME,BA,SALVADOR,PJ,CLÍNICA PJ
1155,74.254.163/0001-67,CLÍNICA NOVA ESPERANÇA,MG,BELO HORIZONTE,PF,AMBULATORIAL
1156,66.549.636/0001-76,POLICLÍNICA MÉDICA NORTE S.A.,SP,CAMPINAS,PJ,MÉDICO PF
1157,53.795.712/0001-16,CENTRO MÉDICO BEM ESTAR S.A.,MG,BELO HORIZONTE,PJ,MÉDICO PF
1158,94.717.994/0001-29,CENTRO MÉDICO BEM ESTAR EPP,RJ,RIO DE JANEIRO,PJ,MÉDICO PF
1159,99.778.501/0001-26,POLICLÍNICA BEM ESTAR S.A.,PE,CARUARU,PJ,AMBULATORIAL
1160,99.948.856/0001-97,POLICLÍNICA BEM ESTAR,PE,CARUARU,PJ,AMBULATORIAL
1161,49.284.319/0001-53,HOSPITAL SÃO LUCAS S/S,RJ,RIO DE JANEIRO,PF,AMBULATORIAL
1162,22.619.889/0001-79,POLICLÍNICA SAÚDE PLENA,RJ,NITERÓI,PF,CLÍNICA PJ
1163,29.266.285/0001-98,POLICLÍNICA MÉDICA NORTE,MG,UBERLÂNDIA,PF,MÉDICO PF
1164,96.836.343/0001-66,POLICLÍNICA SANTA CRUZ,RJ,NITERÓI,PF,CLÍNICA PJ
1165,49.928.903/0001-70,INSTITUTO NOVA ESPERANÇA,SP,CAMPINAS,PJ,MÉDICO PF
1166,74.640.528/0001-30,INSTITUTO CENTRAL S/S,MG,UBERLÂNDIA,PF,CLÍNICA PJ
1167,57.667.205/0001-76,CLÍNICA SANTA CRUZ LTDA,MG,BELO HORIZONTE,PJ,MÉDICO PF
1168,28.950.547/0001-21,INSTITUTO PREMIER S.A.,BA,SALVADOR,PJ,AMBULATORIAL
1169,74.482.341/0001-59,CLÍNICA NOVA ESPERANÇA S/S,MG,BELO HORIZONTE,PJ,AMBULATORIAL
1170,93.443.910/0001-28,INSTITUTO SAÚDE PLENA S.A.,PE,CARUARU,PF,CLÍNICA PJ
1171,67.730.105/0001-20,CLÍNICA SANTA CRUZ S/S,MG,BELO HORIZONTE,PJ,AMBULATORIAL
1172,40.408.224/0001-16,INSTITUTO INTEGRADA,RJ,NITERÓI,PF,AMBULATORIAL
1173,86.648.116/0001-90,POLICLÍNICA CENTRAL S/S,MG,BELO HORIZONTE,PJ,MÉDICO PF
1174,88.461.346/0001-83,HOSPITAL MÉDICA NORTE,CE,FORTALEZA,PJ,AMBULATORIAL
1175,79.619.905/0001-74,POLICLÍNICA SAÚDE PLENA ME,BA,FEIRA DE SANTANA,PF,CLÍNICA PJ
1176,57.359.865/0001-12,CENTRO MÉDICO BEM ESTAR S.A.,MG,BELO HORIZONTE,PF,CLÍNICA PJ
1177,52.236.145/0001-55,POLICLÍNICA NOVA ESPERANÇA,PE,RECIFE,PJ,CLÍNICA PJ
1178,90.286.930/0001-27,CLÍNICA PREMIER LTDA,MG,UBERLÂNDIA,PF,AMBULATORIAL
1179,15.423.417/0001-75,HOSPITAL ELITE ME,SP,CAMPINAS,PF,CLÍNICA PJ
1180,46.465.982/0001-16,CENTRO MÉDICO SANTA CRUZ LTDA,SP,CAMPINAS,PJ,MÉDICO PF
1181,66.495.447/0001-33,HOSPITAL PREMIER S.A.,PE,CARUARU,PF,CLÍNICA PJ
1182,20.540.716/0001-33,POLICLÍNICA SANTA CRUZ S.A.,MG,BELO HORIZONTE,PF,MÉDICO PF
1183,47.413.556/0001-87,HOSPITAL MÉDICA NORTE,PE,CARUARU,PJ,MÉDICO PF
1184,55.729.545/0001-45,CLÍNICA BEM ESTAR,CE,CAUCAIA,PJ,CLÍNICA PJ
1185,96.263.131/0001-28,POLICLÍNICA PREMIER LTDA,PE,RECIFE,PF,AMBULATORIAL
1186,56.470.492/0001-82,CLÍNICA CENTRAL S/S,PE,CARUARU,PJ,MÉDICO PF
1187,19.687.240/0001-77,CENTRO MÉDICO INTEGRADA S.A.,MG,UBERLÂNDIA,PF,AMBULATORIAL
1188,33.611.630/0001-59,POLICLÍNICA BEM ESTAR S.A.,CE,CAUCAIA,PJ,AMBULATORIAL
1189,46.810.602/0001-35,CLÍNICA MÉDICA NORTE LTDA,BA,FEIRA DE SANTANA,PF,CLÍNICA PJ
1190,21.929.798/0001-50,CENTRO MÉDICO BEM ESTAR EPP,MG,UBERLÂNDIA,PJ,AMBULATORIAL
1191,99.753.278/0001-56,POLICLÍNICA SÃO LUCAS LTDA,PE,RECIFE,PF,AMBULATORIAL
1192,13.469.667/0001-83,CENTRO MÉDICO PREMIER EPP,MG,BELO HORIZONTE,PF,AMBULATORIAL
1193,60.834.836/0001-71,POLICLÍNICA INTEGRADA ME,RJ,RIO DE JANEIRO,PF,MÉDICO PF
1194,19.560.577/0001-97,POLICLÍNICA NOVA ESPERANÇA S/S,PE,RECIFE,PF,MÉDICO PF
1195,17.951.227/0001-76,INSTITUTO SANTA CRUZ S/S,BA,SALVADOR,PJ,CLÍNICA PJ
1196,54.631.390/0001-20,CENTRO MÉDICO SÃO LUCAS,SP,CAMPINAS,PF,CLÍNICA PJ
1197,88.646.195/0001-74,INSTITUTO CENTRAL EPP,RJ,RIO DE JANEIRO,PF,CLÍNICA PJ
1198,87.445.962/0001-82,CLÍNICA SAÚDE PLENA LTDA,BA,SALVADOR,PJ,CLÍNICA PJ
1199,83.526.732/0001-91,CLÍNICA PREMIER,SP,CAMPINAS,PJ,MÉDICO PF
1200,97.515.404/0001-68,CLÍNICA SAÚDE PLENA S/S,SP,CAMPINAS,PJ,MÉDICO PF
