HANDLE,ESTRUTURA,CBOS,FAIXA_ETARIA,ANO,MES,REGIME_ATENDIMENTO,QTDE_PAGA,VALOR_PAGO
1117,2.01.01.010,,PED,2025,4,AMBULATORIAL,5,75.74
1141,1.02.01.003,,ADULTO,2025,4,AMBULATORIAL,2,83.17
1038,1.01.01.012,ENDOCRINOLOGIA,PED,2025,4,AMBULATORIAL,2,143.51
1155,1.02.01.003,,PED,2025,4,AMBULATORIAL,1,49.97
1028,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,3,50.13
1153,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,5,58.64
1093,1.01.01.012,CARDIOLOGIA,PED,2025,4,DOMICILIAR,3,169.68
1195,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,4,52.95
1035,1.01.01.012,REUMATOLOGIA,PED,2025,4,DOMICILIAR,5,76.54
1054,3.01.02.005,,ADULTO,2025,4,AMBULATORIAL,5,118.93
1187,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,5,223.59
1074,2.01.01.010,,PED,2025,4,DOMICILIAR,5,49.82
1148,3.01.02.005,,PED,2025,4,AMBULATORIAL,5,52.67
1162,2.01.01.010,,PED,2025,4,AMBULATORIAL,5,82.1
1060,1.02.01.003,,ADULTO,2025,4,AMBULATORIAL,1,165.35
1031,1.01.02.001,,PED,2025,4,DOMICILIAR,1,112.47
1086,1.02.01.003,,ADULTO,2025,4,AMBULATORIAL,2,90.31
1018,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,70.94
1083,1.01.01.012,CARDIOLOGIA,PED,2025,4,DOMICILIAR,4,93.03
1008,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,3,41.54
1173,2.01.01.010,,PED,2025,4,AMBULATORIAL,2,40.21
1138,1.02.01.003,,PED,2025,4,DOMICILIAR,1,110.33
1134,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,161.65
1085,1.02.01.003,,ADULTO,2025,4,AMBULATORIAL,3,109.93
1008,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,135.11
1100,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,3,54.05
1182,1.01.01.012,ORTOPEDIA,PED,2025,4,AMBULATORIAL,4,134.06
1078,1.01.02.001,,PED,2025,4,AMBULATORIAL,1,72.73
1096,1.01.01.012,GASTROENTEROLOGIA,ADULTO,2025,4,AMBULATORIAL,4,22.44
1129,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,4,99.96
1188,3.01.02.005,,PED,2025,4,DOMICILIAR,2,105.5
1133,1.01.02.001,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,1,82.69
1118,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,3,165.49
1153,1.01.01.012,OFTALMOLOGIA,PED,2025,4,AMBULATORIAL,1,74.71
1134,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,83.14
1052,1.01.02.001,,PED,2025,4,DOMICILIAR,5,79.35
1082,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,2,115.18
1160,3.01.02.005,,ADULTO,2025,4,AMBULATORIAL,5,121.54
1090,3.01.02.005,,PED,2025,4,DOMICILIAR,2,179.14
1147,1.01.02.001,,ADULTO,2025,4,AMBULATORIAL,3,74.66
1157,1.02.01.003,,PED,2025,4,AMBULATORIAL,2,198.66
1013,1.01.01.012,DERMATOLOGIA,ADULTO,2025,4,AMBULATORIAL,4,120.62
1101,1.01.02.001,,PED,2025,4,INTERNAÇÃO HOSPITALAR,3,71.27
1183,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,5,179.69
1034,1.01.01.012,OTORRINOLARINGOLOGIA,PED,2025,4,AMBULATORIAL,4,79.03
1197,2.01.01.010,,PED,2025,4,AMBULATORIAL,2,163.11
1037,3.01.02.005,,PED,2025,4,DOMICILIAR,4,143.85
1085,1.02.01.003,,PED,2025,4,DOMICILIAR,1,194.78
1017,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,4,76.27
1197,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,1,109.64
1104,1.01.01.012,OFTALMOLOGIA,ADULTO,2025,4,DOMICILIAR,5,44.66
1062,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,2,117.6
1124,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,2,126.52
1112,3.01.02.005,,PED,2025,4,INTERNAÇÃO HOSPITALAR,2,47.62
1045,1.01.01.012,REUMATOLOGIA,PED,2025,4,AMBULATORIAL,5,70.13
1025,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,4,80.34
1018,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,108.87
1127,1.01.01.012,CARDIOLOGIA,ADULTO,2025,4,AMBULATORIAL,5,59.47
1194,1.01.01.012,GASTROENTEROLOGIA,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,2,67.26
1158,3.01.02.005,,PED,2025,4,AMBULATORIAL,2,113.88
1175,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,3,195.16
1184,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,1,51.2
1157,3.01.02.005,,PED,2025,4,AMBULATORIAL,3,192.45
1014,1.01.01.012,REUMATOLOGIA,PED,2025,4,AMBULATORIAL,3,139.99
1008,1.01.02.001,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,71.99
1098,2.01.01.010,,PED,2025,4,DOMICILIAR,5,127.28
1055,1.01.02.001,,PED,2025,4,AMBULATORIAL,2,21.56
1093,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,2,73.43
1035,1.01.01.012,CARDIOLOGIA,ADULTO,2025,4,AMBULATORIAL,4,36.18
1035,1.01.01.012,PEDIATRIA,PED,2025,4,DOMICILIAR,5,0.67
1109,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,5,28.95
1099,1.02.01.003,,ADULTO,2025,4,AMBULATORIAL,4,141.25
1155,1.01.01.012,UROLOGIA,PED,2025,4,INTERNAÇÃO HOSPITALAR,2,94.6
1140,3.01.02.005,,PED,2025,4,AMBULATORIAL,1,68.36
1146,2.01.01.010,,PED,2025,4,AMBULATORIAL,5,34.54
1037,3.01.02.005,,PED,2025,4,DOMICILIAR,5,110.98
1021,3.01.02.005,,ADULTO,2025,4,AMBULATORIAL,4,57.72
1172,1.01.01.012,ENDOCRINOLOGIA,PED,2025,4,INTERNAÇÃO HOSPITALAR,1,54.38
1088,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,4,52.51
1188,1.02.01.003,,PED,2025,4,DOMICILIAR,3,98.97
1075,1.01.02.001,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,102.74
1145,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,30.49
1149,1.01.02.001,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,125.77
1074,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,5,44.29
1020,1.02.01.003,,PED,2025,4,AMBULATORIAL,5,85.81
1004,1.01.01.012,UROLOGIA,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,2,190.21
1169,2.01.01.010,,PED,2025,4,AMBULATORIAL,3,109.7
1047,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,1,70.65
1038,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,4,107.23
1113,1.01.02.001,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,70.1
1014,1.02.01.003,,ADULTO,2025,4,AMBULATORIAL,2,53.12
1122,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,4,114.47
1122,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,205.73
1115,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,1,110.67
1025,3.01.02.005,,PED,2025,4,DOMICILIAR,5,180.43
1086,1.02.01.003,,PED,2025,4,AMBULATORIAL,3,59.18
1168,3.01.02.005,,PED,2025,4,DOMICILIAR,2,97.1
1050,3.01.02.005,,PED,2025,4,INTERNAÇÃO HOSPITALAR,2,43.3
1081,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,1,106.43
1026,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,96.92
1090,1.01.02.001,,PED,2025,4,DOMICILIAR,2,164.12
1015,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,1,116.28
1182,1.01.01.012,CARDIOLOGIA,ADULTO,2025,4,DOMICILIAR,5,112.44
1029,1.01.02.001,,PED,2025,4,DOMICILIAR,4,75.83
1170,1.01.01.012,ENDOCRINOLOGIA,PED,2025,4,DOMICILIAR,4,79.28
1198,1.02.01.003,,PED,2025,4,AMBULATORIAL,1,40.57
1071,1.01.01.012,DERMATOLOGIA,PED,2025,4,DOMICILIAR,1,98.74
1046,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,2,185.27
1157,2.01.01.010,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,146.6
1111,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,3,138.35
1027,1.01.01.012,CARDIOLOGIA,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,104.49
1128,1.01.02.001,,ADULTO,2025,4,AMBULATORIAL,4,94.37
1069,1.01.02.001,,PED,2025,4,DOMICILIAR,5,173.55
1198,2.01.01.010,,PED,2025,4,DOMICILIAR,4,104.64
1187,1.01.01.012,PSIQUIATRIA,ADULTO,2025,4,AMBULATORIAL,4,182.64
1124,1.01.01.012,UROLOGIA,PED,2025,4,DOMICILIAR,3,79.4
1103,1.01.01.012,ENDOCRINOLOGIA,ADULTO,2025,4,DOMICILIAR,5,127.81
1118,1.02.01.003,,ADULTO,2025,4,AMBULATORIAL,5,70.32
1011,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,4,153.54
1092,2.01.01.010,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,64.54
1189,1.01.02.001,,ADULTO,2025,4,AMBULATORIAL,2,251.99
1062,2.01.01.010,,PED,2025,4,AMBULATORIAL,5,126.95
1165,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,4,111.01
1087,1.01.01.012,OFTALMOLOGIA,ADULTO,2025,4,DOMICILIAR,1,101.29
1055,3.01.02.005,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,138.12
1019,1.01.01.012,REUMATOLOGIA,ADULTO,2025,4,DOMICILIAR,1,150.68
1121,3.01.02.005,,ADULTO,2025,4,AMBULATORIAL,2,166.43
1079,1.01.01.012,NEUROLOGIA,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,1,108.74
1028,1.01.01.012,NEUROLOGIA,ADULTO,2025,4,AMBULATORIAL,2,29.47
1189,2.01.01.010,,PED,2025,4,AMBULATORIAL,5,139.76
1140,1.01.02.001,,PED,2025,4,AMBULATORIAL,1,69.08
1031,1.02.01.003,,ADULTO,2025,4,DOMICILIAR,2,80.54
1179,1.02.01.003,,ADULTO,2025,4,DOMICILIAR,2,114.58
1026,3.01.02.005,,PED,2025,4,AMBULATORIAL,1,97.16
1125,1.01.01.012,CLÍNICA MÉDICA,ADULTO,2025,4,AMBULATORIAL,1,86.78
1073,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,2,44.82
1053,1.01.02.001,,PED,2025,4,INTERNAÇÃO HOSPITALAR,4,12.66
1157,1.01.01.012,UROLOGIA,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,158.73
1157,1.01.01.012,ENDOCRINOLOGIA,PED,2025,4,DOMICILIAR,4,135.98
1031,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,103.95
1195,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,2,98.12
1039,2.01.01.010,,PED,2025,4,AMBULATORIAL,2,132.12
1172,1.01.01.012,CLÍNICA MÉDICA,PED,2025,4,DOMICILIAR,2,65.78
1195,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,1,119.2
1138,1.01.02.001,,ADULTO,2025,4,AMBULATORIAL,4,85.82
1061,2.01.01.010,,PED,2025,4,DOMICILIAR,2,101.39
1192,1.02.01.003,,ADULTO,2025,4,AMBULATORIAL,3,107.61
1106,1.01.02.001,,PED,2025,4,AMBULATORIAL,1,135.79
1121,3.01.02.005,,PED,2025,4,AMBULATORIAL,4,166.28
1117,1.01.02.001,,PED,2025,4,DOMICILIAR,2,184.52
1118,1.01.02.001,,PED,2025,4,DOMICILIAR,2,97.09
1146,1.01.01.012,ORTOPEDIA,ADULTO,2025,4,AMBULATORIAL,4,112.86
1118,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,2,149.28
1164,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,62.92
1059,1.01.01.012,DERMATOLOGIA,PED,2025,4,AMBULATORIAL,5,53.53
1004,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,3,111.32
1112,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,2,185.42
1107,1.01.01.012,CLÍNICA MÉDICA,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,53.38
1009,2.01.01.010,,PED,2025,4,DOMICILIAR,1,71.1
1143,1.01.01.012,REUMATOLOGIA,PED,2025,4,AMBULATORIAL,2,112.83
1092,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,1,169.58
1042,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,4,109.69
1198,1.01.02.001,,PED,2025,4,AMBULATORIAL,3,53.92
1001,1.01.01.012,DERMATOLOGIA,PED,2025,4,INTERNAÇÃO HOSPITALAR,1,52.79
1076,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,25.78
1176,1.01.01.012,UROLOGIA,PED,2025,4,INTERNAÇÃO HOSPITALAR,1,81.91
1132,1.02.01.003,,ADULTO,2025,4,AMBULATORIAL,4,61.48
1094,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,149.75
1181,1.01.01.012,PSIQUIATRIA,ADULTO,2025,4,AMBULATORIAL,3,104.58
1123,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,2,125.04
1083,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,4,100.24
1089,2.01.01.010,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,119.05
1032,2.01.01.010,,PED,2025,4,DOMICILIAR,5,57.5
1178,1.01.01.012,GINECOLOGIA,PED,2025,4,AMBULATORIAL,1,152.6
1101,1.01.02.001,,PED,2025,4,AMBULATORIAL,1,114.19
1038,2.01.01.010,,ADULTO,2025,4,AMBULATORIAL,5,121.86
1161,1.01.01.012,ORTOPEDIA,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,149.38
1108,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,2,81.78
1017,1.01.01.012,OTORRINOLARINGOLOGIA,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,67.95
1166,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,5,124.72
1141,2.01.01.010,,PED,2025,4,DOMICILIAR,5,156.65
1044,1.02.01.003,,ADULTO,2025,4,DOMICILIAR,3,161.56
1074,1.01.01.012,PEDIATRIA,PED,2025,4,DOMICILIAR,4,163.13
1042,3.01.02.005,,PED,2025,4,AMBULATORIAL,2,86.03
1182,1.01.02.001,,ADULTO,2025,4,AMBULATORIAL,1,140.96
1033,2.01.01.010,,PED,2025,4,DOMICILIAR,2,113.04
1053,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,128.22
1115,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,99.49
1032,1.01.01.012,DERMATOLOGIA,PED,2025,4,AMBULATORIAL,4,126.56
1190,3.01.02.005,,PED,2025,4,INTERNAÇÃO HOSPITALAR,3,91.51
1122,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,4,91.38
1123,1.01.01.012,PEDIATRIA,ADULTO,2025,4,DOMICILIAR,1,121.64
1103,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,3,115.66
1165,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,2,111.31
1006,1.01.01.012,PSIQUIATRIA,PED,2025,4,INTERNAÇÃO HOSPITALAR,1,147.55
1126,1.02.01.003,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,96.18
1102,1.01.02.001,,PED,2025,4,DOMICILIAR,4,77.31
1090,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,1,129.4
1056,2.01.01.010,,PED,2025,4,DOMICILIAR,3,140.44
1109,2.01.01.010,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,165.22
1023,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,4,157.79
1086,1.01.01.012,PNEUMOLOGIA,PED,2025,4,AMBULATORIAL,1,98.99
1105,1.02.01.003,,PED,2025,4,AMBULATORIAL,5,46.35
1036,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,3,116.74
1142,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,5,83.86
1119,1.01.02.001,,ADULTO,2025,4,AMBULATORIAL,2,157.33
1068,1.02.01.003,,PED,2025,4,AMBULATORIAL,3,57.57
1177,1.01.02.001,,ADULTO,2025,4,AMBULATORIAL,3,129.04
1127,1.01.01.012,UROLOGIA,PED,2025,4,INTERNAÇÃO HOSPITALAR,4,19.97
1161,2.01.01.010,,ADULTO,2025,4,DOMICILIAR,5,66.71
1188,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,2,80.96
1119,1.01.02.001,,PED,2025,4,AMBULATORIAL,1,90.58
1070,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,3,138.63
1164,1.01.01.012,PSIQUIATRIA,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,2,114.26
1196,1.01.01.012,UROLOGIA,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,3,161.62
1176,1.02.01.003,,PED,2025,4,INTERNAÇÃO HOSPITALAR,3,42.46
1025,3.01.02.005,,PED,2025,4,AMBULATORIAL,1,126.86
1200,2.01.01.010,,PED,2025,4,DOMICILIAR,2,130.74
1027,1.01.02.001,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,2,142.29
1144,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,4,33.17
1020,1.01.01.012,OTORRINOLARINGOLOGIA,ADULTO,2025,4,AMBULATORIAL,4,63.09
1036,2.01.01.010,,PED,2025,4,AMBULATORIAL,3,159.25
1008,1.01.01.012,GINECOLOGIA,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,2,88.36
1054,1.01.02.001,,ADULTO,2025,4,DOMICILIAR,1,67.31
1020,1.01.01.012,GASTROENTEROLOGIA,PED,2025,4,DOMICILIAR,1,106.84
1169,3.01.02.005,,ADULTO,2025,4,DOMICILIAR,1,113.97
1065,1.01.01.012,CARDIOLOGIA,PED,2025,4,INTERNAÇÃO HOSPITALAR,1,105.25
1155,1.01.02.001,,ADULTO,2025,4,AMBULATORIAL,3,24.44
1008,1.01.01.012,PEDIATRIA,PED,2025,4,INTERNAÇÃO HOSPITALAR,3,50.02
1200,3.01.02.005,,ADULTO,2025,4,INTERNAÇÃO HOSPITALAR,5,173.84
